match_no,,Player,Team,Opp_Team,,,,Role,,,Dream11_ Points
55,,Rishabh Pant,DC,RCB,,,,WK,,,27
55,,Marcus Stoinis,DC,RCB,,,,ALL,,,24
55,,Ashwin,DC,RCB,,,,BALL,,,33
55,,Daniel Sams,DC,RCB,,,,ALL,,,2
55,,Rabada,DC,RCB,,,,BALL,,,54
55,,Nortje,DC,RCB,,,,BALL,,,79
55,,A Rahane,DC,RCB,,,,BAT,,,93
56,,De Kock,MI,SRH,,,,WK,,,35
56,,S.Yadav,MI,SRH,,,,BAT,,,45
56,,Ishan Kishan,MI,SRH,,,,WK,,,42
56,,Krunal Pandya,MI,SRH,,,,ALL,,,-4
56,,Rohit Sharma,MI,SRH,,,,BAT,,,8
56,,Kieron Pollard,MI,SRH,,,,ALL,,,55
56,,Coulter Nile,MI,SRH,,,,BALL,,,5
56,,Rahul Chahar,MI,SRH,,,,BALL,,,2
56,,Pattinson,MI,SRH,,,,BALL,,,6
56,,D Kulkarni,MI,SRH,,,,BALL,,,7
56,,Saurabh Tiwary,MI,SRH,,,,BAT,,,5
56,,Warner,SRH,MI,,,,BAT,,,117
56,,W Saha,SRH,MI,,,,WK,,,99
56,,Manish Pandey,SRH,MI,,,,BAT,,,4
56,,Kane Williamson,SRH,MI,,,,BAT,,,12
56,,Jason Holder,SRH,MI,,,,ALL,,,54
56,,Priyam Garg,SRH,MI,,,,BAT,,,12
56,,Abdul Samad,SRH,MI,,,,ALL,,,4
56,,Shahbaz Nadeem,SRH,MI,,,,BAT,,,58
56,,Rashid Khan,SRH,MI,,,,BALL,,,29
56,,Sandeep Sharma,SRH,MI,,,,BALL,,,79
56,,Natarajan,SRH,MI,,,,BALL,,,2
57,,De Kock,MI,DC,,,,WK,,,67
57,,S.Yadav,MI,DC,,,,BAT,,,81
57,,Ishan Kishan,MI,DC,,,,WK,,,77
57,,Krunal Pandya,MI,DC,,,,ALL,,,46
57,,Rohit Sharma,MI,DC,,,,BAT,,,10
57,,Kieron Pollard,MI,DC,,,,ALL,,,25
57,,Coulter Nile,MI,DC,,,,BALL,,,4
57,,Rahul Chahar,MI,DC,,,,BALL,,,6
57,,Boult,MI,DC,,,,BALL,,,66
57,,Bumrah,MI,DC,,,,BALL,,,126
57,,Hardik Pandya,MI,DC,,,,ALL,,,51
57,,P.Shaw,DC,MI,,,,BAT,,,2
57,,Shikhar Dhawan,DC,MI,,,,BAT,,,10
57,,Axar Patel,DC,MI,,,,ALL,,,52
57,,Shreyas Iyer,DC,MI,,,,BAT,,,19
57,,Rishabh Pant,DC,MI,,,,WK,,,7
57,,Marcus Stoinis,DC,MI,,,,ALL,,,114
57,,Ashwin,DC,MI,,,,BALL,,,79
57,,Daniel Sams,DC,MI,,,,ALL,,,14
57,,Rabada,DC,MI,,,,BALL,,,25
57,,Nortje,DC,MI,,,,BALL,,,23
57,,A Rahane,DC,MI,,,,BAT,,,2
58,,Devdutt Padikkal,RCB,SRH,,,,BAT,,,5
58,,Aaron Finch,RCB,SRH,,,,WK,,,41
58,,Virat Kohli,RCB,SRH,,,,BAT,,,10
58,,AB de Villiers,RCB,SRH,,,,WK,,,97
58,,Shivam Dube,RCB,SRH,,,,ALL,,,10
58,,W Sundar,RCB,SRH,,,,ALL,,,5
58,,Moeen Ali,RCB,SRH,,,,ALL,,,2
58,,Mohammed Siraj,RCB,SRH,,,,BAT,,,65
58,,Adam Zampa,RCB,SRH,,,,BALL,,,43
58,,Navdeep Saini,RCB,SRH,,,,BALL,,,14
58,,Y Chahal,RCB,SRH,,,,BALL,,,31
58,,Warner,SRH,RCB,,,,BAT,,,32
58,,S Goswami,SRH,RCB,,,,WK,,,10
58,,Manish Pandey,SRH,RCB,,,,BAT,,,33
58,,Kane Williamson,SRH,RCB,,,,BAT,,,68
58,,Jason Holder,SRH,RCB,,,,ALL,,,106
58,,Priyam Garg,SRH,RCB,,,,BAT,,,15
58,,Abdul Samad,SRH,RCB,,,,ALL,,,20
58,,Shahbaz Nadeem,SRH,RCB,,,,BAT,,,29
58,,Rashid Khan,SRH,RCB,,,,BALL,,,18
58,,Sandeep Sharma,SRH,RCB,,,,BALL,,,6
58,,Natarajan,SRH,RCB,,,,BALL,,,54
59,,Marcus Stoinis,DC,SRH,,,,ALL,,,132
59,,Shikhar Dhawan,DC,SRH,,,,BAT,,,100
59,,Shreyas Iyer,DC,SRH,,,,BAT,,,26
59,,Hetmeyer,DC,SRH,,,,BAT,,,52
59,,Rishabh Pant,DC,SRH,,,,WK,,,6
59,,A Rahane,DC,SRH,,,,BAT,,,4
59,,Axar Patel,DC,SRH,,,,BALL,,,37
59,,Rabada,DC,SRH,,,,BALL,,,120
59,,Nortje,DC,SRH,,,,BALL,,,10
59,,Ashwin,DC,SRH,,,,BALL,,,0
59,,Praveen Dubey,DC,SRH,,,,BALL,,,12
59,,S Goswami,SRH,DC,,,,WK,,,2
59,,Warner,SRH,DC,,,,BAT,,,6
59,,Manish Pandey,SRH,DC,,,,BAT,,,36
59,,Kane Williamson,SRH,DC,,,,BAT,,,92
59,,Jason Holder,SRH,DC,,,,ALL,,,35
59,,Priyam Garg,SRH,DC,,,,BAT,,,25
59,,Abdul Samad,SRH,DC,,,,ALL,,,43
59,,Shahbaz Nadeem,SRH,DC,,,,BAT,,,0
59,,Rashid Khan,SRH,DC,,,,BALL,,,43
59,,Sandeep Sharma,SRH,DC,,,,BALL,,,31
59,,Natarajan,SRH,DC,,,,BALL,,,4
60,,Marcus Stoinis,DC,MI,,,,ALL,,,21
60,,Shikhar Dhawan,DC,MI,,,,BAT,,,22
60,,Shreyas Iyer,DC,MI,,,,BAT,,,87
60,,Hetmeyer,DC,MI,,,,BAT,,,10
60,,Rishabh Pant,DC,MI,,,,WK,,,90
60,,A Rahane,DC,MI,,,,BAT,,,14
60,,Axar Patel,DC,MI,,,,BALL,,,18
60,,Rabada,DC,MI,,,,BALL,,,25
60,,Nortje,DC,MI,,,,BALL,,,52
60,,Ashwin,DC,MI,,,,BALL,,,4
60,,Praveen Dubey,DC,MI,,,,BALL,,,8
60,,De Kock,MI,DC,,,,WK,,,45
60,,S.Yadav,MI,DC,,,,BAT,,,32
60,,Ishan Kishan,MI,DC,,,,WK,,,42
60,,Krunal Pandya,MI,DC,,,,ALL,,,3
60,,Rohit Sharma,MI,DC,,,,BAT,,,93
60,,Kieron Pollard,MI,DC,,,,ALL,,,15
60,,Coulter Nile,MI,DC,,,,BALL,,,68
60,,J Yadav,MI,DC,,,,ALL,,,29
60,,Boult,MI,DC,,,,BALL,,,79
60,,Bumrah,MI,DC,,,,BALL,,,4
60,,Hardik Pandya,MI,DC,,,,ALL,,,15
